rank,asin,url,title,brand,price,price_text,rating,review_count,date_first_available_raw,style_category,fit_type,sleeve_type,color_variant_count
21,B0FN49GXWR,https://www.amazon.com/dp/B0FN49GXWR,WIHOLL Womens Blouses Spring Tops Short Sleeve Shirts Dressy Casual Summer Vacation Fashion Clothing 2026,WIHOLL,8.49,$8.49,4.4,507,"November 14, 2025",Other T-Shirt,Regular,Short Sleeve,12
22,B0CQSQT3JT,https://www.amazon.com/dp/B0CQSQT3JT,Trendy Queen Double Lined Short Sleeve Tshirts for Women Square Neck Cute Crop Top Spring Summer Basic Tees Workout Going Out,Trendy Queen,9.99,$9.99,4.5,2824,"December 22, 2023",Crop Top,Regular,Crop,13
23,B0CXJHCVHZ,https://www.amazon.com/dp/B0CXJHCVHZ,"Cotton Basic T Shirts for Women,Crew Neck Short Sleeve Summer Shirts,Solid Loose Fit Tshirt, Plain Workout Tops, Undershirts",BJY,9.99,$9.99,4.2,1865,"June 12, 2024",Oversized / Relaxed Fit,Loose/Oversized,Short Sleeve,13
24,B0F599HNQS,https://www.amazon.com/dp/B0F599HNQS,PRETTYGARDEN Womens Long Sleeve Shirts 2026 Spring Crop Going Out Tops Casual Boat Neck Bell Sleeve Ribbed Ruched Y2K Clothes,PRETTYGARDEN,9.99,$9.99,4.3,3512,"June 10, 2025",Long Sleeve T-Shirt,Regular,Long Sleeve,13
25,B0G4GHZPK7,https://www.amazon.com/dp/B0G4GHZPK7,Zeagoo Womens Summer Tops Rolled Short Sleeve V Neck Shirts Casual Dressy Business Work Blouses Outfits,Zeagoo,9.99,$9.99,4.4,1234,"November 13, 2025",V-Neck T-Shirt,Regular,Short Sleeve,13
26,B09QFPZ4JN,https://www.amazon.com/dp/B09QFPZ4JN,Sovelen Women's Summer Casual Crewneck Batwing Half Sleeve T-Shirts Solid Color Loose Fit Cute Basic Flowy Tops Tees Blouses,Sovelen,14.99,$14.99,4.0,3517,"April 17, 2021",Oversized / Relaxed Fit,Loose/Oversized,Short Sleeve,9
27,B0FRMBG9DP,https://www.amazon.com/dp/B0FRMBG9DP,WIHOLL Womens Summer Tops Color Block Short Sleeve Raglan Shirts Spring Fashion Clothes Vacation Outfits,WIHOLL,9.99,$9.99,4.6,437,"November 21, 2025",Other T-Shirt,Regular,Short Sleeve,12
28,B0D2Y5S7LS,https://www.amazon.com/dp/B0D2Y5S7LS,AUTOMET Women's Cap Sleeve Tops for Summer - Soft Stretchy Versatile Shirts for Office Casual Date Everyday Wear,AUTOMET,7.99,$7.99,4.4,4911,"April 16, 2024",Basic / Essential Tee,Regular,Short Sleeve,13
29,B0DK8HZS6P,https://www.amazon.com/dp/B0DK8HZS6P,ANRABESS Women Tops Cap Sleeve Dressy Casual V Neck Shirts 2026 Summer Business Work Blouses Outfits Trendy Spring Clothing,ANRABESS,9.99,$9.99,4.4,2737,"December 2, 2024",Other T-Shirt,Regular,Short Sleeve,13
30,B08RMSWHQN,https://www.amazon.com/dp/B08RMSWHQN,WIHOLL Womens Summer T-Shirts Short Sleeve V Neck Dolman Tops with Side Shirring Loose Fit Shirts Spring Fashion,WIHOLL,7.99,$7.99,4.4,11345,"November 16, 2021",V-Neck T-Shirt,Loose/Oversized,Short Sleeve,12
